Rule,Output,Risk Level
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2891,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.3713,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.1476,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.5886,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF3 (mu=0.4050, sigma=0.0826) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0147,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.1518,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2062,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0595,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0371,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.4008,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.3121,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",1.2264,🔴 high
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.4687,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0451,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.3546,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.4464,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.3826,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0340,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.5065,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.7639,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.4199,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.4805,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.1571,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-1.1989,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.5640,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.5336,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2390,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.5077,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.1207,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF4 (mu=0.5801, sigma=1.1066) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.5526,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.3082,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0354,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.2627,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.0204,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.2666,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1187,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.5109,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.1214,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.3001,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.3438,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1113,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.0820,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.2389,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.7818,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.7769,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.2411,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0330,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0871,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-1.2001,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0456,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.2793,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2494,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.3478,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0030,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF1 (mu=0.1214, sigma=0.3186) AND humidity IS MF5 (mu=1.0391, sigma=0.0930) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0901,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1948,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0088,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0320,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",0.0293,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.2323,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.0392,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.4466,🟡 medium
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0915,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.3251,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.0901,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.1293,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0041,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",-0.0844,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0896,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF3 (mu=0.5446, sigma=0.4050) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2408,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.0341,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.0174,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0242,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.3314,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF4 (mu=0.8870, sigma=0.2120) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",-0.2710,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.2599,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",-0.0087,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0649,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.1900,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF1 (mu=-0.0642, sigma=0.0886) AND NaCl IS MF5 (mu=1.0984, sigma=0.0523) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0759,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",0.0671,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.2064,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF3 (mu=0.4274, sigma=0.0122)",0.0430,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF4 (mu=0.6081, sigma=0.3320)",-0.0865,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF1 (mu=-0.0580, sigma=0.0999) AND KCl IS MF5 (mu=1.0582, sigma=0.0905)",0.0495,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF1 (mu=-0.0555, sigma=0.0945)",-0.0171,🟢 low
"IF temperature IS MF4 (mu=0.7405, sigma=0.0055) AND pressure IS MF2 (mu=0.2527, sigma=0.0113) AND humidity IS MF2 (mu=0.2938, sigma=0.1057) AND NaCl IS MF2 (mu=0.1644, sigma=0.2222) AND KCl IS MF2 (mu=0.3639, sigma=0.3244)",0.5101,🟡 medium
